Question,Answer
هنگام تخصیص خطای مبلغ وارد شده از مبلغ آزاد سازی نباید بزرگتر باشد دریافت می شود,ابتدا بروز رسانی انتخاب شود / حذف رکورد چک تضمینی (ستون مد نظر 0) / آزادسازی قرارداد / آزادسازی وثایق
هنگام تشکیل پرونده خطای بانک اطلاعاتی می گیرد,محل مصرف چک بررسی شود
هنگام تصویب تسهیلات خطای مبلغ سفته/چک نباید از مبلغ مصوب تسهیلات/مانده تعهدات بیشتر باشد,اگر میزان دین ثبت شده بیشتر از مبلغ مصوب باشد این خطا نمایش داده می شود
هنگام ابطال ضمانت نامه خطای سند وام .... با رابطه عمل اعطای جبران کارمزد ضمان و بخش اقتصادی... برای افتتاح حساب وجود ندارد,هنگام ابطال تیک عدم بازگشت کارمزد باید باشد. مبلغ دستی محاسبه و سند زده شود
هنگام تمدید ضمانت نامه خطای سند وام .... با رابطه عمل اعطای جبران کارمزد ضمان و بخش اقتصادی... برای افتتاح حساب وجود ندارد,هنگام تمدید تیک عدم بازگشت کارمزد باید برداشته شود. مبلغ دستی محاسبه و سند زده شود
تاریخ سر رسید تمامی سفته ها باید کمتر از تاریخ انتهای قرارداد باشد,اگر مدت قرارداد کمتر از سر رسید آخرین چک باشد این خطا دریافت می گردد
پرونده داری وثیقه با وضعیت نامشخص می باشد. جهت تعیین وضعیت از منوی اصلاح سقف اعتبار اقدام گردد.,اصلاح سقف اعتبار انتخاب و سپس استعلام انتخاب گردد
قبل از تسویه باید وثیقه ها را آزاد کنید,اگر قبل از آزاد سازی وثایق بر روی آزاد سازی قرارداد کلیک شود با این خطا مواجه می شویم
هنگام تشکیل پرونده با خطای ثبت رکورد مورد نظر به دلیل عدم وجود رکوردهای وابسته در بانک اطلاعاتی امکان پذیر نیست مواجه شدیم,پس از وارد کردن کد محل مصرف از نمایش شهر متناظر اطمینان حاصل شود
هنگام تشکیل پرونده خطای مقادیر اطلاعات تعرفه نمی تواند خالی باشد دریافت می گردد,نوع ضمانت نامه یا بخش اقتصادی وارد شده در لیست تعرفه های قابل دسترس شعبه نیست (شعبه برای کد تسهیلات سقفی ندارد)
زبان سیستم فارسی نمی شود,بر روی پنجره ویندوز (انتهای سمت چپ صفحه) کلیک شود / گزینه تنظیمات انتخاب / time & language / language / Add language / از پنجره باز شده فارسی انتخاب و install شود
عدم رفع مسدودی حساب هایی که توسط مهچک/قضایی مسدود شده است,حساب هایی که به علت قضایی و محچک مسدود شده است، نامه به سرپرستی ارسال و هر زمان هامش ارسال شد تماس گرفته شود
به حساب ملی مسکن انتقال انجام نمی شود,حساب های ملی مسکن F4 ندارد ولی F2 دارد
عدم مشاهده زیر سیستم ها در فرانگین,Drive C / user / انتخاب یوزر کاربر / App date / local / IsolatedStorage حذف شود. در صورتی که APP Date قابل مشاهده نیست از سربرگ view تیک hidden items زده شود
